SMILES,pIC50
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc([N+](=O)[O-])o4)cc3)sc2cc1OC.[Br-],8.35
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.25
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[Br-],7.49
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC.[Br-],7.1
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,7.96
C[C@@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,7.66
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,6.79
Nc1c2c(nc3ccccc13)C1CCC2C1,7.5
CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,7.86
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,7.39
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,5.96
Nc1c2c(nc3c(Cl)cccc13)CCCC2,7.16
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,8.63
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,7.68
Nc1c2c(nc3cccc(Cl)c13)CCCC2,8.03
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,5.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,6.48
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,7.25
Nc1c2c(nc3ccccc13)CCCC2O,6.79
Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1,8.35
Nc1c2c(nc3cc(Cl)ccc13)CCCC2,8.74
Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,7.07
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,7.62
CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,5.46
C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,6.64
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,5.83
C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,4.39
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,5.45
Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,7.37
Nc1c2c(nc3ccc(Cl)cc13)CCCC2,6.13
Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,5.96
Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,6.15
Nc1c2c(nc3c1CCCO3)CCCC2,6.34
COc1cccc2nc3c(c(N)c12)CCCC3,6.21
Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,6.85
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,6.92
Nc1c2c(nc3cccc(F)c13)OCCC2,6.47
Nc1c2c(nc3cnccc13)OCCC2,7.38
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,6.72
Nc1c2c(nc3c1CCCC3)CCCC2,6.44
Cc1cccc2nc3c(c(N)c12)CCCC3,7.0
Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,7.13
Nc1c2c(nc3ccc(Cl)cc13)OCCC2,5.01
Nc1c2c(nc3cccc(F)c13)CCCC2,7.11
Nc1c2c(nc3ncccc13)CCCC2,6.37
Nc1c2c(nc3c1CCC3)CCCC2,6.18
Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,6.33
Nc1c2c(nc3ncccc13)OCCC2,5.2
Nc1c2c(nc3cnccc13)CCCC2,5.59
COc1cccc2nc3c(c(N)c12)CCCO3,6.22
Nc1c2c(nc3ccccc13)OCCC2,6.58
Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,7.41
CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,7.18
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1,6.72
Nc1c2c(nc3cccc(Cl)c13)OCCC2,6.5
Nc1c2c(nc3c1CCCO3)CCC2,5.95
Cc1cccc2nc3c(c(N)c12)CCCO3,6.82
C=CC[N+](C)(C)c1cccc(OC)c1.[Br-],5.0
C=CCC[N+](C)(C)c1ccccc1O.[Br-],5.0
COc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],5.0
C[N+](C)(C)Cc1cccc(O)c1.[Br-],5.0
COc1ccc(C(=O)COc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-],5.0
COc1ccc(C(=O)CCc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-],5.52
CC(=O)Oc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-],5.0
C=CC[N+](C)(C)c1ccc(OC(C)=O)cc1.[Br-],5.0
C[N+](C)(Cc1ccccc1)c1ccccc1O.[Br-],5.0
C=CC[N+](C)(C)Cc1cccc(O)c1.[Br-],5.0
